Algorithm,Function,Mean,Std,Convergence
DE,F1,133.295,23.761,1:28669369932.15;100:212484454.043;200:855834.076;300:23359.219;400:1072.323;500:133.295
DE,F2,200,0,1:2870545.794;100:1909.869;200:211.78;300:200.005;400:200.0;500:200.0
DE,F3,304.068,0.425,1:2471.021;100:313.754;200:304.53;300:304.197;400:304.112;500:304.068
DE,F4,418.598,3.696,1:21146.931;100:513.483;200:434.566;300:424.331;400:421.236;500:418.598
DE,F5,500,0,1:500.017;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
DE,F6,630.681,2.763,1:610836.263;100:1733.139;200:650.144;300:638.303;400:634.003;500:630.681
DE,F7,758.4,8.845,1:913.058;100:762.632;200:759.159;300:758.502;400:758.401;500:758.4
DE,F8,802.153,0.032,1:807.557;100:802.226;200:802.153;300:802.153;400:802.153;500:802.153
DE,F9,1882.445,301.249,1:4689.353;100:2195.265;200:2000.754;300:1897.535;400:1882.81;500:1882.445
DE,F10,1040.871,30.847,1:322135409.33;100:11854.069;200:3570.707;300:1372.828;400:1082.623;500:1040.871
DE,F11,4215.704,2361.838,1:10405996737.936;100:15021251.379;200:262114.633;300:37617.996;400:10830.802;500:4215.704
DE,F12,1469.065,869.216,1:8863545793.027;100:70106.419;200:7418.634;300:2879.068;400:1757.226;500:1469.065
DE,F13,1340.032,6.252,1:4002441.685;100:11701.461;200:3217.61;300:1447.519;400:1354.744;500:1340.032
DE,F14,1415.022,8.604,1:2806164462.848;100:40823.275;200:4212.662;300:1806.625;400:1449.898;500:1415.022
DE,F15,1500.579,0.166,1:7984793766.45;100:3198.673;200:1583.762;300:1501.909;400:1500.894;500:1500.579
DE,F16,1637.865,38.824,1:82843246565822.06;100:2735.036;200:1707.736;300:1654.878;400:1642.899;500:1637.865
DE,F17,1725.061,3.184,1:4429437549.757;100:12892.966;200:2628.233;300:1795.823;400:1736.975;500:1725.061
DE,F18,1803.495,0.77,1:7.588329486183802e+16;100:1385946098114.97;200:1239549247.929;300:3043.177;400:1805.03;500:1803.495
DE,F19,1910.406,4.246,1:12250.256;100:2129.543;200:1928.538;300:1919.775;400:1914.238;500:1910.406
DE,F20,2166.419,62.161,1:20451.728;100:2299.424;200:2175.504;300:2169.59;400:2167.547;500:2166.419
DE,F21,2446.348,131.479,1:4177.882;100:2449.941;200:2446.35;300:2446.348;400:2446.348;500:2446.348
DE,F22,2310,30,1:16092.354;100:2527.928;200:2315.242;300:2310.031;400:2310.0;500:2310.0
DE,F23,2400,0,1:12324.356;100:2556.003;200:2400.906;300:2400.006;400:2400.0;500:2400.0
DE,F24,2905.171,7.148,1:4147.179;100:2953.045;200:2911.139;300:2909.731;400:2906.57;500:2905.171
DE,F25,2500,0,1:6444.251;100:2677.047;200:2500.25;300:2500.001;400:2500.0;500:2500.0
DE,F26,3123.193,237.672,1:5221.529;100:3600.935;200:3189.381;300:3128.89;400:3124.348;500:3123.193
DE,F27,2700,0,1:5115.121;100:2856.423;200:2704.27;300:2700.02;400:2700.0;500:2700.0
DE,F28,3879.061,140.953,1:1.44711775224914e+16;100:105977.815;200:7091.114;300:4702.739;400:4073.26;500:3879.061
DE,F29,9967.824,2863.297,1:6455288433305953.0;100:1724638.725;200:101351.877;300:26381.597;400:14246.52;500:9967.824
SaDE,F1,100.005,0.006,1:28330462164.12;100:1452885.169;200:4083.497;300:148.352;400:100.509;500:100.005
SaDE,F2,200,0,1:2573135.669;100:243.383;200:200.0;300:200.0;400:200.0;500:200.0
SaDE,F3,303.321,1.636,1:2424.692;100:315.167;200:306.299;300:304.992;400:303.839;500:303.321
SaDE,F4,408.116,2.013,1:20919.993;100:445.13;200:422.254;300:414.5;400:410.151;500:408.116
SaDE,F5,500,0,1:500.013;100:500.0;200:500.0;300:500.0;400:500.0;500:500.0
SaDE,F6,619.687,3.222,1:602632.462;100:684.556;200:638.147;300:627.768;400:622.633;500:619.687
SaDE,F7,761.2,11.565,1:911.729;100:763.643;200:761.756;300:761.61;400:761.534;500:761.2
SaDE,F8,802.122,0.205,1:807.33;100:802.124;200:802.122;300:802.122;400:802.122;500:802.122
SaDE,F9,2135.399,436.356,1:4473.256;100:2249.786;200:2143.532;300:2135.402;400:2135.399;500:2135.399
SaDE,F10,1055.83,27.787,1:287183971.812;100:4945.517;200:1253.936;300:1081.448;400:1061.725;500:1055.83
SaDE,F11,1193.944,147.484,1:10137629653.126;100:119162.538;200:5720.303;300:2168.325;400:1443.385;500:1193.944
SaDE,F12,1209.989,1.596,1:8724471282.415;100:6351.973;200:1310.698;300:1220.215;400:1212.687;500:1209.989
SaDE,F13,1330.262,3.371,1:2296956.646;100:4578.463;200:1526.276;300:1353.776;400:1335.514;500:1330.262
SaDE,F14,1402.819,0.992,1:2737749690.405;100:7200.687;200:1530.553;300:1413.252;400:1404.844;500:1402.819
SaDE,F15,1518.133,21.936,1:7533917390.159;100:2010.084;200:1546.79;300:1532.474;400:1524.506;500:1518.133
SaDE,F16,1640.451,54.276,1:70845377816827.5;100:1907.015;200:1658.981;300:1647.405;400:1643.981;500:1640.451
SaDE,F17,1713.116,5.5,1:4324335549.861;100:4961.887;200:1777.817;300:1726.527;400:1718.814;500:1713.116
SaDE,F18,1801.92,0.346,1:6.638971345035282e+16;100:1880.219;200:1805.67;300:1803.394;400:1802.461;500:1801.92
